Date,1COV.DE,ADS.DE,ALV.DE,BAS.DE,BAYN.DE,BMW.DE,CON.DE,DAI.DE,DB1.DE,DBK.DE,DHER.DE,DPW.DE,DTE.DE,DWNI.DE,ENR.DE,EOAN.DE,FME.DE,FRE.DE,HEI.DE,HEN3.DE,IFX.DE,LIN.DE,MRK.DE,MTX.DE,MUV2.DE,RWE.DE,SAP.DE,SIE.DE,VNA.DE,VOW3.DE
2012-04-10,,58.029998779296875,83.5,62.0099983215332,49.8837776184082,65.08000183105469,67.83999633789062,40.814998626708984,49.1349983215332,28.683134078979492,,14.100000381469727,8.680999755859375,10.042834281921387,,15.352783203125,52.20000076293945,24.866666793823242,41.869998931884766,53.06999969482422,7.125999927520752,75.95999908447266,40.68000030517578,60.0,109.1500015258789,34.30500030517578,50.04999923706055,70.21589660644531,,125.0999984741211
2012-04-11,,58.459999084472656,84.16999816894531,62.689998626708984,50.375823974609375,66.70999908447266,69.38999938964844,41.30500030517578,49.005001068115234,29.35137176513672,,14.149999618530273,8.753999710083008,9.970125198364258,,15.524979591369629,52.11000061035156,24.623332977294922,42.67499923706055,53.470001220703125,7.131999969482422,75.95999908447266,40.54999923706055,60.400001525878906,110.9000015258789,34.439998626708984,50.43000030517578,70.67134094238281,,128.8000030517578
2012-04-12,,59.540000915527344,84.06999969482422,63.54999923706055,50.96628189086914,68.6500015258789,70.63999938964844,41.77000045776367,49.32500076293945,29.930227279663086,,14.369999885559082,8.729999542236328,10.051921844482422,,15.470602035522461,52.86000061035156,25.100000381469727,43.84000015258789,54.7599983215332,7.543000221252441,75.95999908447266,41.1150016784668,61.650001525878906,111.55000305175781,34.630001068115234,50.66999816894531,70.74886322021484,,131.25
2012-04-13,,58.290000915527344,81.87999725341797,61.630001068115234,49.696800231933594,67.5,68.94000244140625,40.29499053955078,47.165000915527344,28.968305587768555,,14.029999732971191,8.559000015258789,10.083731651306152,,15.085423469543457,51.90999984741211,24.44333267211914,42.59000015258789,54.75,7.374000072479248,75.95999908447266,40.349998474121094,60.95000076293945,108.5999984741211,34.084999084472656,49.939998626708984,69.37284088134766,,128.8000030517578
2012-04-16,,59.43000030517578,82.0,62.86000061035156,50.12980270385742,68.70999908447266,69.62000274658203,40.845001220703125,47.525001525878906,28.80656623840332,,13.96500015258789,8.552000045776367,9.988303184509277,,15.293872833251953,52.43000030517578,24.583332061767578,42.55500030517578,55.72999954223633,7.443999767303467,75.95999908447266,41.084999084472656,61.849998474121094,109.1500015258789,34.900001525878906,49.0,69.51819610595703,,131.0
2012-04-17,,60.31999969482422,84.76000213623047,65.56999969482422,52.009422302246094,70.0,70.33999633789062,42.45500183105469,49.415000915527344,30.108991622924805,,14.479999542236328,8.704000473022461,10.151896476745605,,15.588421821594238,52.939998626708984,24.860000610351562,44.09000015258789,55.810001373291016,7.565999984741211,75.95999908447266,41.709999084472656,62.900001525878906,114.0,35.7599983215332,49.5,70.6810302734375,,133.10000610351562
2012-04-18,,59.88999938964844,84.02999877929688,64.72000122070312,51.69451141357422,69.44000244140625,69.6500015258789,42.029998779296875,48.43000030517578,29.487573623657227,,14.270000457763672,8.576000213623047,9.97921371459961,,15.407160758972168,53.02000045776367,24.656665802001953,43.400001525878906,55.439998626708984,7.577000141143799,75.95999908447266,41.45500183105469,61.779998779296875,113.30000305175781,35.584999084472656,49.654998779296875,68.93678283691406,,131.5
2012-04-19,,59.5099983215332,83.4000015258789,65.01000213623047,51.56658172607422,68.31999969482422,69.0999984741211,40.849998474121094,47.005001068115234,28.857643127441406,,14.055000305175781,8.491999626159668,9.929226875305176,,15.20777416229248,53.619998931884766,24.836666107177734,42.90999984741211,55.72999954223633,7.672999858856201,75.95999908447266,41.845001220703125,61.16999816894531,113.4000015258789,35.720001220703125,49.310001373291016,67.69641876220703,,127.0
2012-04-20,,59.38999938964844,84.66000366210938,66.19999694824219,52.87542724609375,69.83999633789062,69.19999694824219,41.22999954223633,47.59000015258789,29.35137176513672,,14.039999961853027,8.545000076293945,10.047377586364746,,15.502323150634766,53.540000915527344,24.139999389648438,42.869998931884766,56.310001373291016,7.625999927520752,75.95999908447266,43.224998474121094,61.619998931884766,115.4000015258789,33.970001220703125,49.63999938964844,68.49102783203125,,125.4000015258789
2012-04-23,,56.939998626708984,82.27999877929688,63.66999816894531,50.55296325683594,67.0,67.33000183105469,39.5,45.75,28.074485778808594,,13.300000190734863,8.418999671936035,9.656571388244629,,15.058234214782715,52.349998474121094,24.023332595825195,40.52000045776367,55.0099983215332,7.11899995803833,75.95999908447266,41.189998626708984,59.0,111.80000305175781,32.60499954223633,48.685001373291016,66.76615142822266,,121.25
