Date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2008-06-04,6.61392879486084,44.5,45.63999938964844,78.0199966430664,82.45999908447266,18.137500762939453,26.760000228881836,96.04000091552734,34.349998474121094,,172.10000610351562,27.18000030517578,54.084651947021484,121.94072723388672,23.479999542236328,66.55000305175781,41.630001068115234,28.350000381469727,57.97999954223633,76.36000061035156,36.421756744384766,27.540000915527344,16.985000610351562,66.44999694824219,49.22999954223633,33.81999969482422,21.3700008392334,34.683135986328125,36.34000015258789,57.68000030517578
2008-06-05,6.76535701751709,44.93000030517578,47.43000030517578,77.30999755859375,82.7300033569336,18.479999542236328,27.540000915527344,99.98999786376953,34.4900016784668,,176.60000610351562,27.90999984741211,54.056053161621094,122.82026672363281,23.8700008392334,66.95999908447266,42.099998474121094,28.594999313354492,58.04999923706055,77.5,37.10877990722656,28.299999237060547,17.517499923706055,66.66999816894531,50.2400016784668,33.939998626708984,21.809999465942383,36.54015350341797,36.70000076293945,59.79999923706055
2008-06-06,6.630000114440918,44.2400016784668,44.650001525878906,73.16000366210938,79.98999786376953,17.7549991607666,26.540000915527344,99.5,33.0099983215332,,169.44000244140625,27.18000030517578,51.49148941040039,119.44550323486328,22.899999618530273,65.76000213623047,40.09000015258789,27.899999618530273,56.95000076293945,74.86000061035156,35.77289962768555,27.489999771118164,16.982500076293945,65.37000274658203,47.25,33.029998779296875,20.912500381469727,35.85549545288086,35.529998779296875,58.369998931884766
2008-06-09,6.4860711097717285,44.29999923706055,44.11000061035156,73.94999694824219,80.80999755859375,17.424999237060547,26.43000030517578,101.19999694824219,33.18000030517578,,165.75999450683594,26.540000915527344,52.23511505126953,120.3250503540039,22.760000228881836,65.62999725341797,37.5099983215332,27.93000030517578,59.310001373291016,75.81999969482422,35.29580307006836,27.709999084472656,17.145000457763672,66.06999969482422,47.790000915527344,32.93000030517578,20.53499984741211,35.5835075378418,35.619998931884766,59.56999969482422
2008-06-10,6.630000114440918,43.81999969482422,44.349998474121094,73.66999816894531,80.0999984741211,17.834999084472656,26.360000610351562,98.77999877929688,33.83000183105469,,167.2100067138672,26.709999084472656,51.90143585205078,120.40152740478516,22.68000030517578,65.62000274658203,38.290000915527344,29.0049991607666,59.77000045776367,76.0,34.72328186035156,27.889999389648438,17.1200008392334,66.66000366210938,48.43000030517578,32.599998474121094,20.077499389648438,35.18959426879883,35.70000076293945,59.779998779296875
2008-06-11,6.457499980926514,42.95000076293945,42.59000015258789,73.30999755859375,78.93000030517578,17.360000610351562,25.649999618530273,99.41999816894531,33.27000045776367,,162.39999389648438,25.90999984741211,51.72983169555664,117.82982635498047,21.809999465942383,65.19999694824219,37.130001068115234,28.56999969482422,58.75,75.2699966430664,34.093509674072266,27.1200008392334,16.860000610351562,66.19999694824219,46.650001525878906,31.950000762939453,19.434999465942383,34.392391204833984,35.31999969482422,58.52000045776367
2008-06-12,6.187857151031494,43.220001220703125,43.41999816894531,74.12000274658203,80.5,17.552499771118164,25.959999084472656,98.05999755859375,33.2400016784668,,166.75,26.479999542236328,53.02641296386719,118.4034423828125,22.049999237060547,65.69000244140625,38.0099983215332,28.56999969482422,59.34000015258789,75.55000305175781,33.77862548828125,28.239999771118164,16.69499969482422,66.45999908447266,47.810001373291016,31.010000228881836,19.889999389648438,34.35487365722656,35.45000076293945,59.11000061035156
2008-06-13,6.156071186065674,43.970001220703125,44.65999984741211,75.12000274658203,81.5,18.197500228881836,26.3700008392334,99.4000015258789,33.93000030517578,,178.2899932861328,27.530000686645508,53.85584259033203,120.602294921875,22.65999984741211,66.2699966430664,39.58000183105469,27.709999084472656,59.95000076293945,76.12000274658203,33.902671813964844,29.06999969482422,17.247499465942383,66.44999694824219,47.84000015258789,30.739999771118164,20.38249969482422,35.01139450073242,36.2599983215332,59.18000030517578
2008-06-16,6.315713882446289,43.9900016784668,44.68000030517578,75.0199966430664,80.91000366210938,18.204999923706055,26.270000457763672,99.48999786376953,33.650001525878906,,182.08999633789062,27.5,53.560298919677734,121.13766479492188,22.860000610351562,65.83999633789062,39.939998626708984,27.09000015258789,59.939998626708984,75.19999694824219,33.406490325927734,28.93000030517578,17.094999313354492,65.9000015258789,48.20000076293945,30.200000762939453,20.8174991607666,33.989097595214844,36.25,59.310001373291016
2008-06-17,6.479642868041992,44.38999938964844,42.7599983215332,74.37999725341797,80.69000244140625,18.012500762939453,25.969999313354492,100.37000274658203,33.11000061035156,,179.44000244140625,26.8700008392334,52.49252700805664,119.59847259521484,22.579999923706055,65.58999633789062,39.040000915527344,26.979999542236328,59.209999084472656,74.97000122070312,33.09160232543945,28.799999237060547,17.0,65.80000305175781,47.25,30.0,21.167499542236328,33.66083526611328,35.72999954223633,58.689998626708984
